DateTime,"Melter Gas Flow Valve Opening  _DB885,DD670,QC","Header Gas Pressure -Gail_DB1367,DD0,QC","ThermoCouple Flue Pass left Inner _DB872,DD0,QC","ThermoCouple Flue Pass left outer _DB874,DD0,QC","ThermoCouple Flue Pass Right Inner _DB876,DD0,QC","ThermoCouple Flue Pass Right outer _DB879,DD0,QC","Glass level_DB1177,DD0,QC","Fibber Optic Thermometer -Distributer-zone -2_DB719,DD134,QC","Fibber Optic Thermometer -Distributer-zone -6_DB731,DD134,QC","High Pressure M/C-61_DB668,DD134,QC","High Pressure M/C-65_DB691,DD134,QC","ThermoCouple Regenratore Right_DB868,DD0,QC","ThermoCouple melter bottom -2_DB858,DD0,QC","Melter Gas Flow Setpoint _DB885,DD726,QC","Fiber Optic Thermometer -F/H65- Middle_DB189,DD134,QC","ThermoCouple melter Crown -1_DB845,DD0,QC","Throat cooling blower Pressure _DB837,DD134,QC",chem_comp_SiO2,chem_comp_Al2O3,chem_comp_Fe2O3,chem_comp_CaO,chem_comp_MgO,chem_comp_Na2O,chem_comp_K2O,chem_comp_SO3,physical_test_density_gm_cc,physical_test_seed_count_result,,"Melter Gas flow_DB885,DD134,QC"
03:57.4,45.37003326,1.915798664,329.1000061,511.5,322.7000122,319.1000061,-0.086805344,1329.87561,1371.223877,40.92013931,39.69835281,1315,1259.800049,815,1256.25,1471.900024,249.9095764,70.57,2.08,0.018,8.07,2.05,13.65,1.05,0.231,2.5051,15,,813.368103
18:57.4,5,1.923611164,472.1000061,562.1000366,143.8000031,140.1000061,-0.09432888,1330.541016,1371.079346,41.05252075,40.35590363,1296,1259.200073,815,1256.481445,1479.200073,252.233429,70.48,2.06,0.017,8.12,2.08,13.65,1.06,0.227,2.5036,12,,70.85503387
33:57.4,47.33555603,1.903645873,141.9000092,126.5999985,452.7000122,489.8000183,0,1330.642334,1371.339722,40.75521088,39.94791794,1335.900024,1259,825,1256.43811,1469.599976,250.7776337,70.56,2.04,0.016,8.1,2.08,13.58,1.05,0.227,2.5044,13,,822.1571655
39:57.4,47.52481079,1.91818583,469.8999939,570.7000122,157.6000061,152.3000031,0.039351463,1330.367432,1371.166016,41.15668488,40.01953506,1296.900024,1258.900024,840,1256.626221,1476.400024,250.153717,70.76,2.14,0.017,8.1,2.04,13.5,1.09,0.235,2.5064,15,,841.3085938
42:57.4,47.13420486,1.908203125,452.1000061,511.3999939,151,150.5,-0.02372694,1330.410889,1371.267334,40.90277863,40.10850906,1297.099976,1259,840,1256.582764,1477.400024,250.1717987,70.76,2.14,0.017,8.1,2.04,13.5,1.09,0.235,2.5055,13,,815.8095093
54:57.4,49.09276199,1.909939289,163,138.6999969,433.2000122,475.6000061,-0.027777672,1330.410889,1371.137207,41.02430725,40.00434113,1338.099976,1259.300049,840,1256.712891,1472.400024,249.8010712,70.89,1.99,0.017,8.32,1.9,13.55,1.03,0.237,2.5063,16,,837.8364258
07:57.4,47.85244751,1.908203125,295.8000183,476,345.6000061,346.3999939,0.008101463,1330.179443,1371.064819,41.12847519,40.32552338,1320,1259.300049,840,1257.103516,1472.5,251.1483612,70.54,2.19,0.017,8.29,1.93,13.63,1.09,0.243,2.5076,16,,836.154541
20:57.4,47.11698151,1.909722209,468.3000183,568.7000122,162.3000031,156.4000092,-0.00752306,1329.788818,1371.079346,40.837677,39.87847519,1298.300049,1259,835,1257.436279,1482.200073,248.7340851,70.59,2.22,0.0174,8.28,1.92,13.69,1.1,0.241,2.5069,42,,837.9448853
35:57.4,47.90554047,1.907335043,171.1000061,146.4000092,425.7000122,469.3999939,0.012152672,1329.456055,1371.021362,41.07638931,39.94791794,1340.300049,1258.700073,820,1257.392944,1476.400024,249.1590729,70.41,2.12,0.0182,8.4,1.88,13.78,1.08,0.239,2.5071,12,,814.670166
48:57.4,46.51424026,1.916449666,269.8000183,445,360.7000122,363.8000183,0.050926208,1329.730957,1370.732056,41.03081894,40.07161713,1324.300049,1258.5,820,1256.582764,1476.599976,248.0920868,70.53,2.12,0.018,8.37,1.91,13.65,1.08,0.244,2.5077,17,,819.9327393
01:57.4,45.98811722,1.92209208,462.7000122,564.2999878,167.4000092,162,-0.015625,1330.193848,1370.746582,40.93099213,39.61805725,1301.300049,1258.300049,810,1256.495972,1486.200073,249.846283,70.46,2.12,0.018,8.3,1.95,13.59,1.08,0.243,2.5042,12,,808.2682495
